관광지명,주소,지역,합산 검색 수,태그,동반유형
통영리스타트플랫폼,경남 통영시 도남로 195-0,경상남도 통영시,1926,랜드마크,"['기타가족', '연인', '자녀']"
더카트인통영,경남 통영시 도산일주로 147-0,경상남도 통영시,10986,기타레저스포츠,"['기타가족', '연인', '자녀']"
디피랑,경남 통영시 남망공원길 29-0,경상남도 통영시,20675,유원지,"['기타가족', '연인', '자녀']"
통영해저터널,경남 통영시,경상남도 통영시,9614,유원지,"['기타가족', '연인', '자녀']"
통영해저터널입구,경남 통영시 운하2길 21-0,경상남도 통영시,7974,유원지,"['기타가족', '연인', '자녀']"
출렁다리,경남 통영시,경상남도 통영시,5687,유원지,"['기타가족', '연인', '자녀']"
통영욕지섬모노레일,경남 통영시 욕지일주로 1467-0,경상남도 통영시,5324,유원지,"['기타가족', '연인', '자녀']"
미래사편백나무숲,경남 통영시,경상남도 통영시,4611,유원지,"['기타가족', '연인', '자녀']"
한려해상생태탐방원,경남 통영시,경상남도 통영시,3447,유원지,"['기타가족', '연인', '자녀']"
해저터널관광안내소,경남 통영시 도천1길 7-0,경상남도 통영시,2265,유원지,"['기타가족', '연인', '자녀']"
정릉시장,서울 성북구 보국문로11길 18-2,서울특별시 성북구,25125,시장,"['기타가족', '연인', '회사동료']"
길음시장,서울 성북구 동소문로 227-0,서울특별시 성북구,4168,시장,"['기타가족', '연인', '회사동료']"
장위전통시장,서울 성북구 화랑로19가길 20-22,서울특별시 성북구,3789,시장,"['기타가족', '연인', '회사동료']"
밤나무골시장,서울 성북구,서울특별시 성북구,3442,시장,"['기타가족', '연인', '회사동료']"
석관시장,서울 성북구 돌곶이로22가길 27-0,서울특별시 성북구,3329,시장,"['기타가족', '연인', '회사동료']"
고려시장,서울 성북구,서울특별시 성북구,2264,시장,"['기타가족', '연인', '회사동료']"
돈암시장,서울 성북구 동소문로18길 18-0,서울특별시 성북구,2216,시장,"['기타가족', '연인', '회사동료']"
아리랑골목시장,서울 성북구 아리랑로19길 10-0,서울특별시 성북구,1838,시장,"['기타가족', '연인', '회사동료']"
보문시장,서울 성북구,서울특별시 성북구,1423,시장,"['기타가족', '연인', '회사동료']"
돌곶이시장,서울 성북구 한천로73길 26-0,서울특별시 성북구,953,시장,"['기타가족', '연인', '회사동료']"
우들,서울 성북구 성북로 34-0,서울특별시 성북구,622,시장,"['기타가족', '연인', '회사동료']"
새석관시장,서울 성북구 화랑로 202-0,서울특별시 성북구,388,시장,"['기타가족', '연인', '회사동료']"
한국가구박물관,서울 성북구 대사관로 121-0,서울특별시 성북구,2977,박물관,"['기타가족', '연인', '회사동료']"
우리옛돌박물관,서울 성북구 대사관로13길 66-0,서울특별시 성북구,2513,박물관,"['기타가족', '연인', '회사동료']"
간송미술관,서울 성북구 성북로 102-11,서울특별시 성북구,4731,미술관,"['기타가족', '연인', '회사동료']"
성북구립미술관,서울 성북구 성북로 134-0,서울특별시 성북구,1769,미술관,"['기타가족', '연인', '회사동료']"
LKATEGallery,서울 성북구 성북로 189-0,서울특별시 성북구,387,미술관,"['기타가족', '연인', '회사동료']"
성북구립최만린미술관,서울 성북구 솔샘로7길 23-0,서울특별시 성북구,329,미술관,"['기타가족', '연인', '회사동료']"
운우미술관,서울 성북구 선잠로 12-11,서울특별시 성북구,199,미술관,"['기타가족', '연인', '회사동료']"
성북어린이미술관꿈자람,서울 성북구 화랑로18자길 13-0,서울특별시 성북구,199,미술관,"['기타가족', '연인', '회사동료']"
최순우옛집,서울 성북구 성북로15길 9-0,서울특별시 성북구,438,종합전시센터,"['기타가족', '연인', '회사동료']"
BB&M,서울 성북구 성북로23길 10-0,서울특별시 성북구,243,종합전시센터,"['기타가족', '연인', '회사동료']"
개운사,서울 성북구 개운사길 73-0,서울특별시 성북구,15835,불교,"['기타가족', '연인', '회사동료']"
흥천사,서울 성북구 흥천사길 29-0,서울특별시 성북구,6749,불교,"['기타가족', '연인', '회사동료']"
경국사,서울 성북구 보국문로 113-10,서울특별시 성북구,1984,불교,"['기타가족', '연인', '회사동료']"
탑주심인당,서울 성북구 화랑로13길 17-0,서울특별시 성북구,1496,불교,"['기타가족', '연인', '회사동료']"
방생선원돈암동분원,서울 성북구 북악산로 927-29,서울특별시 성북구,869,불교,"['기타가족', '연인', '회사동료']"
대한불교진각종,서울 성북구 화랑로13길 17-0,서울특별시 성북구,783,불교,"['기타가족', '연인', '회사동료']"
홍련사,서울 성북구 대사관로 1-0,서울특별시 성북구,444,불교,"['기타가족', '연인', '회사동료']"
팔정사,서울 성북구 성북로31가길 82-0,서울특별시 성북구,430,불교,"['기타가족', '연인', '회사동료']"
수월암,서울 성북구 성북로 170-0,서울특별시 성북구,415,불교,"['기타가족', '연인', '회사동료']"
삼선포교원,서울 성북구 동소문로26마길 40-0,서울특별시 성북구,347,불교,"['기타가족', '연인', '회사동료']"
적조사,서울 성북구 흥천사길 49-23,서울특별시 성북구,222,불교,"['기타가족', '연인', '회사동료']"
동방고개,서울 성북구,서울특별시 성북구,10792,등산,"['기타가족', '연인', '회사동료']"
돈암동아리랑고개,서울 성북구,서울특별시 성북구,4741,등산,"['기타가족', '연인', '회사동료']"
개운산공원,서울 성북구,서울특별시 성북구,497,공원,"['기타가족', '연인', '회사동료']"
북한산생태숲,서울 성북구,서울특별시 성북구,285,공원,"['기타가족', '연인', '회사동료']"
성북천분수광장,서울 성북구,서울특별시 성북구,177,공원,"['기타가족', '연인', '회사동료']"
월곡인조잔디축구장,서울 성북구,서울특별시 성북구,3956,축구,"['기타가족', '연인', '회사동료']"
서경대풋살파크,서울 성북구 서경로 118-0,서울특별시 성북구,3005,축구,"['기타가족', '연인', '회사동료']"
고려대아이스링크,서울 성북구 안암로 145-0,서울특별시 성북구,34849,동계스포츠,"['기타가족', '연인', '회사동료']"
롤퀸롤러장,서울 성북구 동소문로20나길 47-0,서울특별시 성북구,787,기타육상스포츠,"['기타가족', '연인', '회사동료']"
경륜경정성북지점,서울 성북구 동소문로 300-0,서울특별시 성북구,588,기타육상스포츠,"['기타가족', '연인', '회사동료']"
정릉,서울 성북구 아리랑로19길 116-0,서울특별시 성북구,7177,역사유적지,"['기타가족', '연인', '회사동료']"
의릉,서울 성북구 화랑로32길 146-37,서울특별시 성북구,6651,역사유적지,"['기타가족', '연인', '회사동료']"
선잠단지,서울 성북구,서울특별시 성북구,325,역사유적지,"['기타가족', '연인', '회사동료']"
만해한용운심우장,서울 성북구 성북로29길 24-0,서울특별시 성북구,235,역사유적지,"['기타가족', '연인', '회사동료']"
북한산국립공원,서울 성북구,서울특별시 성북구,28421,수목원/휴양림,"['기타가족', '연인', '회사동료']"
아쿠아마린키즈스윔길음점,서울 성북구 동소문로 295-0,서울특별시 성북구,371,테마파크,"['기타가족', '연인', '회사동료']"
CGV성신여대입구,서울 성북구 동소문로 106-0,서울특별시 성북구,10701,영화관,"['기타가족', '연인', '회사동료']"
미아리고개예술극장,서울 성북구 동소문로 177-0,서울특별시 성북구,1402,극장,"['기타가족', '연인', '회사동료']"
꿈빛극장,서울 성북구 길음로7길 20-0,서울특별시 성북구,1317,극장,"['기타가족', '연인', '회사동료']"
아리랑시네센터,서울 성북구 아리랑로 82-0,서울특별시 성북구,5467,아트홀,"['기타가족', '연인', '회사동료']"
여행자극장,서울 성북구 성북로5길 9-3,서울특별시 성북구,606,아트홀,"['기타가족', '연인', '회사동료']"
공감엠아트센터,서울 성북구 보문로40길 11-0,서울특별시 성북구,589,아트홀,"['기타가족', '연인', '회사동료']"
종암박스파크,서울 성북구 화랑로 6-0,서울특별시 성북구,734,문화센터,"['기타가족', '연인', '회사동료']"
삼청각,서울 성북구 대사관로 3-0,서울특별시 성북구,11072,랜드마크,"['기타가족', '연인', '회사동료']"
서울성북미디어문화마루,서울 성북구 길음로7길 20-0,서울특별시 성북구,1997,랜드마크,"['기타가족', '연인', '회사동료']"
예향재,서울 성북구 성북로31길 97-0,서울특별시 성북구,340,랜드마크,"['기타가족', '연인', '회사동료']"
정릉테니스장,서울 성북구 정릉로6가길 30-0,서울특별시 성북구,600,기타레저스포츠,"['기타가족', '연인', '회사동료']"
북악하늘길스카이웨이,서울 성북구,서울특별시 성북구,255,기타레저스포츠,"['기타가족', '연인', '회사동료']"
발레홀릭,서울 성북구 성북로 122-0,서울특별시 성북구,249,기타레저스포츠,"['기타가족', '연인', '회사동료']"
북한산둘레길4구간,서울 성북구,서울특별시 성북구,176,기타레저스포츠,"['기타가족', '연인', '회사동료']"
북한산국립공원정릉탐방안내소,서울 성북구 보국문로 215-0,서울특별시 성북구,1618,유원지,"['기타가족', '연인', '회사동료']"
북한산국립공원정릉탐방지원센터,서울 성북구 보국문로 215-0,서울특별시 성북구,650,유원지,"['기타가족', '연인', '회사동료']"
남대문시장,서울 중구,서울특별시 중구,53107,시장,"['기타가족', '회사동료', '친구']"
제일평화시장,서울 중구 마장로 13-0,서울특별시 중구,48340,시장,"['기타가족', '회사동료', '친구']"
청평화시장,서울 중구 청계천로 334-0,서울특별시 중구,23842,시장,"['기타가족', '회사동료', '친구']"
중부시장,서울 중구 을지로32길 34-0,서울특별시 중구,23247,시장,"['기타가족', '회사동료', '친구']"
서울중앙시장,서울 중구 퇴계로85길 22-0,서울특별시 중구,21300,시장,"['기타가족', '회사동료', '친구']"
신평화패션타운,서울 중구 청계천로 298-0,서울특별시 중구,17199,시장,"['기타가족', '회사동료', '친구']"
동화상가,서울 중구 장충단로13길 34-0,서울특별시 중구,9849,시장,"['기타가족', '회사동료', '친구']"
서소문성지역사박물관,서울 중구 칠패로 5-0,서울특별시 중구,13947,박물관,"['기타가족', '회사동료', '친구']"
안중근의사기념관,서울 중구 소월로 91-0,서울특별시 중구,13196,기타 전시시설,"['기타가족', '회사동료', '친구']"
이화여고100주년기념관,서울 중구 정동길 26-0,서울특별시 중구,5725,기타 전시시설,"['기타가족', '회사동료', '친구']"
서울시립미술관,서울 중구 덕수궁길 61-0,서울특별시 중구,23120,미술관,"['기타가족', '회사동료', '친구']"
조선일보미술관,서울 중구 세종대로21길 33-0,서울특별시 중구,16197,미술관,"['기타가족', '회사동료', '친구']"
피크닉,서울 중구 퇴계로6가길 30-0,서울특별시 중구,4820,종합전시센터,"['기타가족', '회사동료', '친구']"
손기정체육공원,서울 중구 손기정로 101-0,서울특별시 중구,19530,공원,"['기타가족', '회사동료', '친구']"
동대문역사문화공원,서울 중구 을지로 281-0,서울특별시 중구,16771,공원,"['기타가족', '회사동료', '친구']"
서소문역사공원,서울 중구 칠패로 5-0,서울특별시 중구,8248,공원,"['기타가족', '회사동료', '친구']"
덕수궁,서울 중구 세종대로 99-0,서울특별시 중구,17831,역사유적지,"['기타가족', '회사동료', '친구']"
남산골한옥마을,서울 중구 퇴계로34길 28-0,서울특별시 중구,14079,역사유적지,"['기타가족', '회사동료', '친구']"
숭례문,서울 중구 세종대로 40-0,서울특별시 중구,8936,역사유적지,"['기타가족', '회사동료', '친구']"
광희문,서울 중구,서울특별시 중구,5813,역사유적지,"['기타가족', '회사동료', '친구']"
메가박스동대문,서울 중구 장충단로 247-0,서울특별시 중구,7715,영화관,"['기타가족', '회사동료', '친구']"
CGV동대문,서울 중구 장충단로13길 20-0,서울특별시 중구,6207,영화관,"['기타가족', '회사동료', '친구']"
CGV명동역씨네라이브러리,서울 중구 퇴계로 123-0,서울특별시 중구,4950,영화관,"['기타가족', '회사동료', '친구']"
대한극장,서울 중구 퇴계로 212-0,서울특별시 중구,27542,극장,"['기타가족', '회사동료', '친구']"
명보아트홀,서울 중구 마른내로 47-0,서울특별시 중구,22794,아트홀,"['기타가족', '회사동료', '친구']"
호암아트홀,서울 중구 서소문로 88-0,서울특별시 중구,9686,아트홀,"['기타가족', '회사동료', '친구']"
국립정동극장,서울 중구 정동길 43-0,서울특별시 중구,7788,아트홀,"['기타가족', '회사동료', '친구']"
세븐럭강북힐튼점,서울 중구 소월로 50-0,서울특별시 중구,4729,랜드마크,"['기타가족', '회사동료', '친구']"
남산케이블카,서울 중구 소파로 83-0,서울특별시 중구,12362,유원지,"['기타가족', '회사동료', '친구']"
아현시장,서울 마포구 굴레방로 27-10,서울특별시 마포구,4757,시장,"['기타가족', '연인', '친구']"
마포농수산물시장상인번영회,서울 마포구 월드컵로 235-0,서울특별시 마포구,2943,시장,"['기타가족', '연인', '친구']"
공덕시장족발골목,서울 마포구 만리재로 19-0,서울특별시 마포구,2395,시장,"['기타가족', '연인', '친구']"
망원동월드컵시장,서울 마포구 망원로7길 31-0,서울특별시 마포구,2374,시장,"['기타가족', '연인', '친구']"
공덕시장,서울 마포구,서울특별시 마포구,2018,시장,"['기타가족', '연인', '친구']"
동진시장,서울 마포구 성미산로 198-0,서울특별시 마포구,1467,시장,"['기타가족', '연인', '친구']"
DMC홍보관,서울 마포구 월드컵북로 366-0,서울특별시 마포구,5975,기타 전시시설,"['기타가족', '연인', '친구']"
난지미술창작스튜디오,서울 마포구 하늘공원로 108-1,서울특별시 마포구,2612,종합전시센터,"['기타가족', '연인', '친구']"
플라워바이네이키드,서울 마포구 양화로 188-0,서울특별시 마포구,1326,종합전시센터,"['기타가족', '연인', '친구']"
난지캠핑장,서울 마포구 한강난지로 22-0,서울특별시 마포구,22033,캠핑,"['기타가족', '연인', '친구']"
노을캠핑장,서울 마포구 하늘공원로 84-0,서울특별시 마포구,8570,캠핑,"['기타가족', '연인', '친구']"
마포문화원,서울 마포구 백범로 227-0,서울특별시 마포구,2892,교육시설,"['기타가족', '연인', '친구']"
평화의공원,서울 마포구,서울특별시 마포구,51423,공원,"['기타가족', '연인', '친구']"
망원유수지체육공원,서울 마포구 방울내로11길 198-0,서울특별시 마포구,28021,공원,"['기타가족', '연인', '친구']"
월드컵공원,서울 마포구 월드컵로 243-60,서울특별시 마포구,20261,공원,"['기타가족', '연인', '친구']"
난지천공원,서울 마포구,서울특별시 마포구,17479,공원,"['기타가족', '연인', '친구']"
서울함공원,서울 마포구 마포나루길 407-0,서울특별시 마포구,13286,공원,"['기타가족', '연인', '친구']"
경의선숲길공원,서울 마포구,서울특별시 마포구,2708,공원,"['기타가족', '연인', '친구']"
잔다리어린이공원,서울 마포구,서울특별시 마포구,2268,공원,"['기타가족', '연인', '친구']"
와우산체육공원,서울 마포구,서울특별시 마포구,2050,공원,"['기타가족', '연인', '친구']"
홍익문화공원,서울 마포구,서울특별시 마포구,1485,공원,"['기타가족', '연인', '친구']"
난지천공원인조잔디축구장,서울 마포구,서울특별시 마포구,9049,축구,"['기타가족', '연인', '친구']"
망원한강공원축구장,서울 마포구,서울특별시 마포구,1833,축구,"['기타가족', '연인', '친구']"
난지야구장,서울 마포구,서울특별시 마포구,2298,야구,"['기타가족', '연인', '친구']"
시립마포청소년센터,서울 마포구 월드컵로 212-0,서울특별시 마포구,3254,기타육상스포츠,"['기타가족', '연인', '친구']"
절두산순교성지,서울 마포구 토정로 6-0,서울특별시 마포구,14262,역사유적지,"['기타가족', '연인', '친구']"
홍대놀이터,서울 마포구,서울특별시 마포구,3033,테마파크,"['기타가족', '연인', '친구']"
난지강변물놀이장,서울 마포구 한강난지로 162-0,서울특별시 마포구,2475,테마파크,"['기타가족', '연인', '친구']"
난지천공원유아놀이터,서울 마포구,서울특별시 마포구,2173,테마파크,"['기타가족', '연인', '친구']"
신석스포렉스수영장,서울 마포구 대흥로 33-0,서울특별시 마포구,1955,테마파크,"['기타가족', '연인', '친구']"
망리단길,서울 마포구,서울특별시 마포구,1545,테마파크,"['기타가족', '연인', '친구']"
한강시민공원망원지구수영장,서울 마포구,서울특별시 마포구,1339,테마파크,"['기타가족', '연인', '친구']"
메가박스상암월드컵경기장,서울 마포구 월드컵로 240-0,서울특별시 마포구,23246,영화관,"['기타가족', '연인', '친구']"
롯데시네마홍대입구,서울 마포구 양화로 176-0,서울특별시 마포구,12188,영화관,"['기타가족', '연인', '친구']"
CGV연남,서울 마포구 양화로 186-0,서울특별시 마포구,10778,영화관,"['기타가족', '연인', '친구']"
롯데시네마합정,서울 마포구 양화로 45-0,서울특별시 마포구,10079,영화관,"['기타가족', '연인', '친구']"
CGV홍대,서울 마포구 양화로 153-0,서울특별시 마포구,6141,영화관,"['기타가족', '연인', '친구']"
메가박스홍대,서울 마포구 양화로 147-0,서울특별시 마포구,5120,영화관,"['기타가족', '연인', '친구']"
소극장산울림,서울 마포구 와우산로 157-0,서울특별시 마포구,9340,극장,"['기타가족', '연인', '친구']"
윤형빈소극장홍대점,서울 마포구 와우산로21길 29-0,서울특별시 마포구,2471,극장,"['기타가족', '연인', '친구']"
구름아래소극장,서울 마포구 와우산로29가길 15-0,서울특별시 마포구,2425,극장,"['기타가족', '연인', '친구']"
포스트극장,서울 마포구 와우산로 148-0,서울특별시 마포구,1767,극장,"['기타가족', '연인', '친구']"
성미산마을극장,서울 마포구 월드컵로26길 39-0,서울특별시 마포구,1215,극장,"['기타가족', '연인', '친구']"
신한pLay스퀘어,서울 마포구 양화로 45-0,서울특별시 마포구,8742,아트홀,"['기타가족', '연인', '친구']"
롤링홀,서울 마포구 어울마당로 35-0,서울특별시 마포구,3292,아트홀,"['기타가족', '연인', '친구']"
제일라아트홀,서울 마포구 월드컵북로 323-0,서울특별시 마포구,3259,아트홀,"['기타가족', '연인', '친구']"
웨스트브릿지라이브홀,서울 마포구 와우산로25길 6-0,서울특별시 마포구,2390,아트홀,"['기타가족', '연인', '친구']"
브라보픽쳐스,서울 마포구 대흥로6길 13-0,서울특별시 마포구,1628,아트홀,"['기타가족', '연인', '친구']"
CJ아지트광흥창,서울 마포구 창전로 14-0,서울특별시 마포구,1207,아트홀,"['기타가족', '연인', '친구']"
KT&G상상마당홍대,서울 마포구 어울마당로 65-0,서울특별시 마포구,32894,랜드마크,"['기타가족', '연인', '친구']"
문화비축기지,서울 마포구 증산로 87-0,서울특별시 마포구,13731,랜드마크,"['기타가족', '연인', '친구']"
한국영상자료원,서울 마포구 월드컵북로 400-0,서울특별시 마포구,4703,랜드마크,"['기타가족', '연인', '친구']"
그라운드합주실합정2호점,서울 마포구 양화로11길 56-0,서울특별시 마포구,2152,랜드마크,"['기타가족', '연인', '친구']"
어깨동무스토리움,서울 마포구 월드컵로 386-0,서울특별시 마포구,2011,랜드마크,"['기타가족', '연인', '친구']"
무신사테라스,서울 마포구 양화로 188-0,서울특별시 마포구,1533,랜드마크,"['기타가족', '연인', '친구']"
더클라임클라이밍짐앤샵홍대점,서울 마포구 양화로 125-0,서울특별시 마포구,2709,기타레저스포츠,"['기타가족', '연인', '친구']"
경의선숲길홍대역~가좌역,서울 마포구,서울특별시 마포구,1473,기타레저스포츠,"['기타가족', '연인', '친구']"
와우산배드민턴장,서울 마포구 와우산로30길 87-0,서울특별시 마포구,1366,기타레저스포츠,"['기타가족', '연인', '친구']"
난지안내센터,서울 마포구,서울특별시 마포구,2924,유원지,"['기타가족', '연인', '친구']"
용산저수지,전북 정읍시,전라북도 정읍시,807,호수,"['기타가족', '학생', '연인']"
우화정,전북 정읍시 내장산로 936-0,전라북도 정읍시,584,호수,"['기타가족', '학생', '연인']"
내장저수지,전북 정읍시,전라북도 정읍시,477,호수,"['기타가족', '학생', '연인']"
석우제,전북 정읍시,전라북도 정읍시,394,호수,"['기타가족', '학생', '연인']"
샘고을시장,전북 정읍시 태평6길 22-10,전라북도 정읍시,6374,시장,"['기타가족', '학생', '연인']"
정읍시농수산물도매시장,전북 정읍시 황토현로 1213-15,전라북도 정읍시,2255,시장,"['기타가족', '학생', '연인']"
정읍시농산물도매시장,전북 정읍시 황토현로 1213-15,전라북도 정읍시,274,시장,"['기타가족', '학생', '연인']"
연지시장,전북 정읍시 연지시장3길 29-0,전라북도 정읍시,273,시장,"['기타가족', '학생', '연인']"
정읍시립박물관,전북 정읍시 내장산로 370-12,전라북도 정읍시,1107,박물관,"['기타가족', '학생', '연인']"
동학농민혁명기념관,전북 정읍시 동학로 742-0,전라북도 정읍시,2270,기타 전시시설,"['기타가족', '학생', '연인']"
단풍미인한우홍보관,전북 정읍시 첨단과학로 405-0,전라북도 정읍시,650,기타 전시시설,"['기타가족', '학생', '연인']"
국립전북기상과학관,전북 정읍시 서부산업도로 168-43,전라북도 정읍시,1024,과학관,"['기타가족', '학생', '연인']"
정읍시립미술관,전북 정읍시 시기4길 7-0,전라북도 정읍시,1139,미술관,"['기타가족', '학생', '연인']"
천년부부사랑 정촌가요특구,전북 정읍시,전라북도 정읍시,594,종합전시센터,"['기타가족', '학생', '연인']"
내장산국민여가캠핑장,전북 정읍시 내장산로 390-0,전라북도 정읍시,6060,캠핑,"['기타가족', '학생', '연인']"
로하스캠핑장,전북 정읍시 산호수길 204-70,전라북도 정읍시,2697,캠핑,"['기타가족', '학생', '연인']"
일곱식구캠핑장,전북 정읍시 행단1길 153-0,전라북도 정읍시,1954,캠핑,"['기타가족', '학생', '연인']"
자두마을캠핑장,전북 정읍시 종황길 92-0,전라북도 정읍시,1788,캠핑,"['기타가족', '학생', '연인']"
내장야영장,전북 정읍시 내장산로 800-0,전라북도 정읍시,1165,캠핑,"['기타가족', '학생', '연인']"
금강두승산글램핑,전북 정읍시 영원로 222-15,전라북도 정읍시,521,캠핑,"['기타가족', '학생', '연인']"
내장사,전북 정읍시 내장산로 1253-0,전라북도 정읍시,8903,불교,"['기타가족', '학생', '연인']"
옥정호구절초테마공원,전북 정읍시 청정로 926-59,전라북도 정읍시,12217,공원,"['기타가족', '학생', '연인']"
정읍사문화공원,전북 정읍시 정읍사로 0-0,전라북도 정읍시,5094,공원,"['기타가족', '학생', '연인']"
단풍생태공원,전북 정읍시 내장호반로 0-0,전라북도 정읍시,1841,공원,"['기타가족', '학생', '연인']"
내장산조각공원,전북 정읍시 내장호반로 214-0,전라북도 정읍시,1551,공원,"['기타가족', '학생', '연인']"
정읍어린이교통공원,전북 정읍시 벚꽃로 537-0,전라북도 정읍시,874,공원,"['기타가족', '학생', '연인']"
정읍체육공원,전북 정읍시 용흥1길 78-6,전라북도 정읍시,707,공원,"['기타가족', '학생', '연인']"
옥정호구절초테마공원다목적광장,전북 정읍시,전라북도 정읍시,339,공원,"['기타가족', '학생', '연인']"
신태인축구장,전북 정읍시,전라북도 정읍시,628,축구,"['기타가족', '학생', '연인']"
성황축구장,전북 정읍시,전라북도 정읍시,463,축구,"['기타가족', '학생', '연인']"
필연야구장,전북 정읍시 백산감산로 107-0,전라북도 정읍시,1353,야구,"['기타가족', '학생', '연인']"
태인CC퍼블릭,전북 정읍시 상증길 6-22,전라북도 정읍시,2275,골프,"['기타가족', '학생', '연인']"
신태인파크골프장,전북 정읍시,전라북도 정읍시,399,골프,"['기타가족', '학생', '연인']"
필야정,전북 정읍시 서부산업도로 104-0,전라북도 정읍시,300,기타육상스포츠,"['기타가족', '학생', '연인']"
정읍학생수련원,전북 정읍시 내장산로 0-0,전라북도 정읍시,267,기타육상스포츠,"['기타가족', '학생', '연인']"
웨스턴스프링스,전북 정읍시 송산1길 142-101,전라북도 정읍시,263,기타육상스포츠,"['기타가족', '학생', '연인']"
무성서원,전북 정읍시 원촌1길 44-12,전라북도 정읍시,2229,역사유적지,"['기타가족', '학생', '연인']"
피향정,전북 정읍시 태산로 2951-0,전라북도 정읍시,1668,역사유적지,"['기타가족', '학생', '연인']"
황토현동학유적지,전북 정읍시,전라북도 정읍시,777,역사유적지,"['기타가족', '학생', '연인']"
김명관고택,전북 정읍시 공동길 66-0,전라북도 정읍시,547,역사유적지,"['기타가족', '학생', '연인']"
전봉준선생고택지,전북 정읍시 조소1길 20-0,전라북도 정읍시,388,역사유적지,"['기타가족', '학생', '연인']"
황토현전적지,전북 정읍시,전라북도 정읍시,301,역사유적지,"['기타가족', '학생', '연인']"
송참봉조선동네,전북 정읍시 영원로 1290-118,전라북도 정읍시,280,역사유적지,"['기타가족', '학생', '연인']"
내장산수목원,전북 정읍시,전라북도 정읍시,524,수목원/휴양림,"['기타가족', '학생', '연인']"
CGV정읍,전북 정읍시 중앙1길 1-0,전라북도 정읍시,2371,영화관,"['기타가족', '학생', '연인']"
연지아트홀,전북 정읍시 중앙로 73-0,전라북도 정읍시,1227,아트홀,"['기타가족', '학생', '연인']"
정읍구절초꽃축제,전북 정읍시,전라북도 정읍시,6379,축제,"['기타가족', '학생', '연인']"
내장산단풍겨울빛축제,전북 정읍시 내장산로 0-0,전라북도 정읍시,298,축제,"['기타가족', '학생', '연인']"
정읍천빛축제,전북 정읍시,전라북도 정읍시,289,축제,"['기타가족', '학생', '연인']"
내장상동공감플러스센터,전북 정읍시 충정로 25-0,전라북도 정읍시,437,문화센터,"['기타가족', '학생', '연인']"
양떼목장임실치즈마을,전북 정읍시,전라북도 정읍시,365,농어촌체험,"['기타가족', '학생', '연인']"
내장산워터파크,전북 정읍시 내장호반로 37-0,전라북도 정읍시,1827,유원지,"['기타가족', '학생', '연인']"
정읍벚꽃길,전북 정읍시,전라북도 정읍시,1453,유원지,"['기타가족', '학생', '연인']"
내장산매표소내장사지구,전북 정읍시,전라북도 정읍시,1223,유원지,"['기타가족', '학생', '연인']"
내장산탐방안내소,전북 정읍시 내장산로 1207-0,전라북도 정읍시,718,유원지,"['기타가족', '학생', '연인']"
미르샘다리,전북 정읍시,전라북도 정읍시,519,유원지,"['기타가족', '학생', '연인']"
내장산국립공원서래탐방지원센터,전북 정읍시 내장호반로 266-3,전라북도 정읍시,472,유원지,"['기타가족', '학생', '연인']"
내장산단풍터널,전북 정읍시,전라북도 정읍시,282,유원지,"['기타가족', '학생', '연인']"
도남지,대구 북구,대구광역시 북구,1220,호수,"['자녀', '연인', '회사동료']"
연경지,대구 북구,대구광역시 북구,793,호수,"['자녀', '연인', '회사동료']"
산격종합시장,대구 북구 대동로1길 34-0,대구광역시 북구,5476,시장,"['자녀', '연인', '회사동료']"
칠곡시장,대구 북구 칠곡중앙대로 530-3,대구광역시 북구,5224,시장,"['자녀', '연인', '회사동료']"
동대구시장,대구 북구 대현로20길 30-0,대구광역시 북구,4855,시장,"['자녀', '연인', '회사동료']"
관음시장,대구 북구 관음중앙로28길 1-0,대구광역시 북구,4714,시장,"['자녀', '연인', '회사동료']"
별별상상칠성야시장,대구 북구,대구광역시 북구,4293,시장,"['자녀', '연인', '회사동료']"
대구중앙청과,대구 북구 매천로18길 34-0,대구광역시 북구,3677,시장,"['자녀', '연인', '회사동료']"
침산골목시장,대구 북구 침산남로7길 15-0,대구광역시 북구,2132,시장,"['자녀', '연인', '회사동료']"
효성청과,대구 북구 매천로18길 34-0,대구광역시 북구,1799,시장,"['자녀', '연인', '회사동료']"
축산물도매시장,대구 북구 검단북로11길 11-0,대구광역시 북구,1453,시장,"['자녀', '연인', '회사동료']"
팔달신시장,대구 북구 팔달로33길 59-0,대구광역시 북구,1164,시장,"['자녀', '연인', '회사동료']"
서변중앙시장,대구 북구 호국로43길 27-0,대구광역시 북구,869,시장,"['자녀', '연인', '회사동료']"
복현종합시장,대구 북구 경진로1길 78-0,대구광역시 북구,855,시장,"['자녀', '연인', '회사동료']"
구암종합시장,대구 북구 팔거천동로4길 25-0,대구광역시 북구,846,시장,"['자녀', '연인', '회사동료']"
코엑스,대구 북구 검단로 151-0,대구광역시 북구,837,시장,"['자녀', '연인', '회사동료']"
태전중앙시장,대구 북구 태전로 15-0,대구광역시 북구,714,시장,"['자녀', '연인', '회사동료']"
대구교육박물관,대구 북구 대동로1길 40-0,대구광역시 북구,4670,박물관,"['자녀', '연인', '회사동료']"
신전뮤지엄,대구 북구 관음로 43-0,대구광역시 북구,3720,박물관,"['자녀', '연인', '회사동료']"
EXCO신관,대구 북구 엑스코로 10-0,대구광역시 북구,4629,종합전시센터,"['자녀', '연인', '회사동료']"
금호강오토캠핑장,대구 북구,대구광역시 북구,3673,캠핑,"['자녀', '연인', '회사동료']"
