관광지명,주소,지역,합산 검색 수,태그,동반유형
한산모시문화제,충남 서천군 충절로 1089-0,충청남도 서천군,562,축제,"['연인', '기타가족', '자녀']"
선도리갯벌체험마을,충남 서천군 갯벌체험로 428-13,충청남도 서천군,6384,농어촌체험,"['연인', '기타가족', '자녀']"
해오름관광농원,충남 서천군 서인로 576-0,충청남도 서천군,1593,농어촌체험,"['연인', '기타가족', '자녀']"
서천송림갯벌체험장,충남 서천군 장항산단로34번길 48-44,충청남도 서천군,440,농어촌체험,"['연인', '기타가족', '자녀']"
금강하구둑놀이동산,충남 서천군 장산로855번길 13-0,충청남도 서천군,4210,기타레저스포츠,"['연인', '기타가족', '자녀']"
신성리갈대밭,충남 서천군,충청남도 서천군,17073,유원지,"['연인', '기타가족', '자녀']"
월하성갯벌체험장,충남 서천군 월하성길 96-0,충청남도 서천군,1914,유원지,"['연인', '기타가족', '자녀']"
장항도시탐험역,충남 서천군 장항로161번길 27-0,충청남도 서천군,1053,유원지,"['연인', '기타가족', '자녀']"
봉성저수지,경남 함안군,경상남도 함안군,1250,호수,"['연인', '회사동료', '기타가족']"
입곡지,경남 함안군,경상남도 함안군,940,호수,"['연인', '회사동료', '기타가족']"
자연지,경남 함안군,경상남도 함안군,166,호수,"['연인', '회사동료', '기타가족']"
명관저수지,경남 함안군,경상남도 함안군,136,호수,"['연인', '회사동료', '기타가족']"
운곡저수지,경남 함안군,경상남도 함안군,79,호수,"['연인', '회사동료', '기타가족']"
대평늪,경남 함안군,경상남도 함안군,79,늪,"['연인', '회사동료', '기타가족']"
가야시장,경남 함안군 가야7길 9-7,경상남도 함안군,5636,시장,"['연인', '회사동료', '기타가족']"
대산시장,경남 함안군 대산중앙4길 60-0,경상남도 함안군,140,시장,"['연인', '회사동료', '기타가족']"
함안축산농협축산유통센터,경남 함안군 북실길 18-0,경상남도 함안군,113,시장,"['연인', '회사동료', '기타가족']"
군북시장,경남 함안군 중암8길 0-0,경상남도 함안군,105,시장,"['연인', '회사동료', '기타가족']"
칠원공설시장,경남 함안군,경상남도 함안군,99,시장,"['연인', '회사동료', '기타가족']"
함안박물관,경남 함안군 고분길 153-31,경상남도 함안군,4233,박물관,"['연인', '회사동료', '기타가족']"
산돌손양원기념관,경남 함안군 덕산4길 39-0,경상남도 함안군,205,기타 전시시설,"['연인', '회사동료', '기타가족']"
이태준기념관,경남 함안군 지두2길 50-0,경상남도 함안군,158,기타 전시시설,"['연인', '회사동료', '기타가족']"
말이산고분전시관,경남 함안군 삼기길 91-0,경상남도 함안군,144,기타 전시시설,"['연인', '회사동료', '기타가족']"
강나루오토캠핑장,경남 함안군,경상남도 함안군,6048,캠핑,"['연인', '회사동료', '기타가족']"
입곡저수지드라이브길,경남 함안군 입곡공원길 0-0,경상남도 함안군,255,데이트,"['연인', '회사동료', '기타가족']"
마애사,경남 함안군 하림2길 181-78,경상남도 함안군,4288,불교,"['연인', '회사동료', '기타가족']"
능가사,경남 함안군 계내1길 107-0,경상남도 함안군,860,불교,"['연인', '회사동료', '기타가족']"
장춘사,경남 함안군 북원로 110-1,경상남도 함안군,663,불교,"['연인', '회사동료', '기타가족']"
천궁사,경남 함안군 상광길 37-28,경상남도 함안군,617,불교,"['연인', '회사동료', '기타가족']"
선약사,경남 함안군 싸리재로 34-2,경상남도 함안군,211,불교,"['연인', '회사동료', '기타가족']"
청안사,경남 함안군 부남2길 122-0,경상남도 함안군,158,불교,"['연인', '회사동료', '기타가족']"
보갑사,경남 함안군 주동2길 143-1,경상남도 함안군,117,불교,"['연인', '회사동료', '기타가족']"
발원통사,경남 함안군 강명1길 62-21,경상남도 함안군,111,불교,"['연인', '회사동료', '기타가족']"
봉암사,경남 함안군 봉성6길 62-0,경상남도 함안군,111,불교,"['연인', '회사동료', '기타가족']"
