순위,업소명,주소,분류,합산 검색 수
81,풍천민물장어,경남 함안군 삼봉로 521-4,외국식,166
82,맛고을한우마당,경남 함안군 함마대로 1814-0,한식,161
83,여항산횟집,경남 함안군 주서2길 0-0,외국식,160
84,명륜진사갈비함안가야점,경남 함안군 가야로 83-1,한식,151
85,제일횟집,경남 함안군 중앙본안길 10-0,외국식,148
86,큰섬,경남 함안군 성내남길 192-0,외국식,147
87,철교황토집,경남 함안군 계내1길 62-23,한식,144
88,본가삼계탕,경남 함안군 신산로 224-0,한식,142
88,요리왕비룡[중식],경남 함안군 함마대로 2410-0,외국식,142
90,설빙함안점,경남 함안군 성내남길 7-4,카페/찻집,138
90,아젤리아,경남 함안군 대천길 197-0,카페/찻집,138
92,루온카페,경남 함안군 신산로 224-0,카페/찻집,136
93,엔제리너스경남함안점,경남 함안군 함마대로 1494-0,카페/찻집,135
94,악양루가든,경남 함안군 대법로 331-0,외국식,130
95,레드인갤러리카페,경남 함안군 진함로 1023-2,카페/찻집,125
95,가원,경남 함안군 왕궁길 170-21,한식,125
97,카페인뚝방,경남 함안군 악양길 25-0,카페/찻집,122
98,천안문[중식],경남 함안군 경남대로 1514-0,외국식,113
99,녹아촌산장가든,경남 함안군 주서4길 122-0,한식,112
100,엔제리너스함안칠원점,경남 함안군 용산1길 16-3,카페/찻집,111
