순위,관광지명,주소,분류,현지인 검색 수
33,차범근축구교실,서울 용산구 이촌로72길 62-0,기타레저스포츠,790
34,캐피탈호텔서울,서울 용산구 장문로 23-0,호텔,755
35,사운드캣,서울 용산구 원효로48길 17-0,기타쇼핑시설,743
36,이태원앤틱가구거리,서울 용산구,기타쇼핑시설,698
37,노들섬라이브하우스,서울 용산구 양녕로 445-0,공연시설,676
38,이태원시장,서울 용산구 이태원로14길 6-0,시장,675
39,한강세븐수상레저,서울 용산구,수상레저스포츠,613
40,보광시장,서울 용산구 보광로 30-0,시장,590
41,대원정사,서울 용산구 두텁바위로60길 49-0,종교성지,582
42,왜고개,서울 용산구 한강대로40길 46-0,역사유적지,559
43,과학동아천문대,서울 용산구 청파로 109-0,랜드마크관광,521
44,신라아이파크면세점용산점,서울 용산구 한강대로23길 55-0,면세점,511
44,이촌한강공원안내센터,서울 용산구,기타관광,511
46,노들섬복합문화공간,서울 용산구 양녕로 445-0,기타문화관광지,507
47,레인보우호텔,서울 용산구 한강대로71길 48-0,호텔,491
48,용산역광장,서울 용산구 한강대로21나길 0-0,기타관광,490
49,백성희장민호극장,서울 용산구 청파로 373-0,공연시설,478
50,김세중미술관,서울 용산구 효창원로70길 35-0,전시시설,470
51,필름트레픽,서울 용산구 새창로33길 5-0,공연시설,465
52,가야라트리호텔,서울 용산구 한강대로 253-0,호텔,449
53,노보텔스위트앰배서더서울용산,서울 용산구 청파로20길 95-0,호텔,447
54,호텔더디자이너스서울역점,서울 용산구 한강대로 305-0,호텔,434
55,엘르인호텔,서울 용산구 한강대로71길 24-0,호텔,424
56,신흥시장,서울 용산구 신흥로 95-9,시장,415
57,극장용,서울 용산구 서빙고로 137-0,공연시설,414
58,블루라군한남점,서울 용산구 독서당로 70-0,테마공원,386
59,원광사,서울 용산구 한강대로40길 46-0,종교성지,382
60,노들섬야외스케이트장,서울 용산구 양녕로 445-0,육상레저스포츠,375
61,임피리얼팰리스부티크호텔,서울 용산구 이태원로 221-0,호텔,349
62,새꿈어린이공원,서울 용산구,도시공원,348
63,국립중앙박물관어린이박물관,서울 용산구 서빙고로 137-0,전시시설,331
64,한남오피스텔,서울 용산구 한남대로36길 6-0,모텔,329
65,용산공예관,서울 용산구 이태원로 274-0,기타문화관광지,322
66,용산역앞잔디광장,서울 용산구,도시공원,287
67,이촌종합시장,서울 용산구 이촌로77길 19-0,시장,281
68,ITW호텔,서울 용산구 우사단로14길 11-0,호텔,278
69,용산역사박물관,서울 용산구 한강대로14길 35-29,전시시설,272
70,하이브인사이트,서울 용산구 한강대로 42-0,기타문화관광지,263
71,삼각지공원,서울 용산구,도시공원,244
72,뉴월드호텔,서울 용산구 한강대로84길 21-13,모텔,216
73,거북선나루터,서울 용산구,교통시설,215
74,N서울타워,서울 용산구 남산공원길 105-0,랜드마크관광,210
75,에프지인터내셔날,서울 용산구 후암로16다길 8-0,기타쇼핑시설,201
76,아모레퍼시픽미술관,서울 용산구 한강대로 100-0,전시시설,193
77,이태원부군당역사공원,서울 용산구,도시공원,189
78,WO모텔용산역점,서울 용산구 한강대로7길 9-0,모텔,176
79,노들섬다목적홀숲,서울 용산구 양녕로 445-0,기타문화관광지,175
80,모어피클,서울 용산구 서빙고로 17-0,기타레저스포츠,161
81,성지모텔,서울 용산구 회나무로 45-1,모텔,149
82,대원씨티에스원효로지사,서울 용산구 원효로 142-0,기타쇼핑시설,145
83,디뮤지엄,서울 용산구 독서당로29길 5-6,전시시설,139
84,롯데아울렛서울역점,서울 용산구 한강대로 405-0,쇼핑몰,137
85,성민교회TMS탁구교실,서울 용산구 후암로 91-21,기타레저스포츠,135
86,국립극단소극장판,서울 용산구 청파로 373-0,공연시설,134
87,용산공원,서울 용산구 서빙고로 221-0,도시공원,119
88,일신홀,서울 용산구 한남대로 98-0,공연시설,118
89,식민지역사박물관,서울 용산구 청파로47다길 27-0,전시시설,117
89,용산전쟁기념관어린이박물관,서울 용산구 이태원로 29-0,전시시설,117
91,타데우스로팍,서울 용산구 독서당로 122-1,전시시설,115
92,새남터순교지,서울 용산구 이촌로 80-8,역사유적지,110
93,GV레지던스,서울 용산구 이태원로15길 14-4,호텔,104
94,남산시스터,서울 용산구 이태원로49길 20-0,기타레저스포츠,97
95,용산아트홀,서울 용산구 녹사평대로 150-0,공연시설,95
96,소월길공원,서울 용산구,도시공원,94
97,남산힐레지던스,서울 용산구 이태원로27다길 11-0,기타쇼핑시설,87
97,민주인권기념관,서울 용산구 한강대로71길 37-0,전시시설,87
99,이태원교육문화관,서울 용산구 녹사평대로40길 19-0,기타문화관광지,84
100,독서당어린이공원,서울 용산구,도시공원,81
