시도명,시군구명,평균 체류시간,평균 숙박일수
경상북도,군위군,197.0,1.5
경상북도,의성군,287.0,1.6
경상북도,청송군,276.0,1.7
경상북도,영양군,333.0,1.8
경상북도,영덕군,269.0,1.5
경상북도,청도군,252.0,1.5
경상북도,고령군,237.0,1.7
경상북도,성주군,243.0,1.6
경상북도,칠곡군,201.0,1.7
경상북도,예천군,259.0,1.7
경상북도,봉화군,286.0,1.7
경상북도,울진군,260.0,1.6
경상북도,울릉군,254.0,2.4
경상남도,창원시 의창구,175.0,1.9
경상남도,창원시 성산구,170.0,2.0
경상남도,창원시 마산합포구,162.0,1.8
경상남도,창원시 마산회원구,168.0,1.9
경상남도,창원시 진해구,179.0,1.9
경상남도,진주시,211.0,1.7
경상남도,통영시,209.0,1.5
경상남도,사천시,191.0,1.6
경상남도,김해시,185.0,1.9
경상남도,밀양시,239.0,1.6
경상남도,거제시,229.0,1.7
경상남도,양산시,188.0,1.9
경상남도,의령군,263.0,1.6
경상남도,함안군,194.0,1.7
경상남도,창녕군,224.0,1.6
경상남도,고성군,228.0,1.5
경상남도,남해군,236.0,1.5
경상남도,하동군,235.0,1.5
경상남도,산청군,258.0,1.5
경상남도,함양군,266.0,1.6
경상남도,거창군,286.0,1.6
경상남도,합천군,264.0,1.5
제주특별자치도,제주시,177.0,1.9
제주특별자치도,서귀포시,190.0,1.9
